student_id,attendance,participation,homework_scores,final_exam_score
161,79,72,61,41
162,86,38,67,50
163,72,41,81,58
164,88,47,77,80
165,94,11,99,52
166,64,95,96,62
167,92,88,48,37
168,78,17,73,71
169,85,78,75,98
170,62,95,48,70
171,81,5,54,92
172,56,42,84,43
173,100,34,59,91
174,71,97,47,75
175,77,53,97,96
176,51,61,67,82
177,91,68,90,81
178,94,81,58,36
179,55,15,96,83
180,77,7,55,40
181,77,88,50,54
182,93,95,81,88
183,93,89,47,95
184,69,85,72,56
185,79,30,49,87
186,60,9,57,40
187,77,55,74,84
188,74,75,82,48
189,88,91,89,68
190,82,69,42,99
191,50,19,79,40
192,76,4,66,43
193,62,22,98,89
194,90,8,67,65
195,52,57,85,70
196,88,58,45,31
197,55,92,86,86
198,57,79,53,89
199,76,53,46,49
200,58,45,49,51
201,86,21,54,33
202,82,63,70,85
203,100,7,68,87
204,91,19,81,94
205,93,50,93,87
206,73,77,56,59
207,64,38,98,48
208,81,36,90,91
209,81,49,68,97
210,73,33,88,73
211,90,74,83,90
212,98,32,54,50
213,98,30,65,39
214,61,53,51,59
215,88,43,64,53
216,51,33,100,77
217,52,70,80,84
218,98,61,44,81
219,86,22,43,67
220,98,45,83,96
221,66,55,87,37
222,98,6,80,58
223,51,88,96,39
224,51,60,70,98
225,77,2,42,97
226,72,37,92,78
227,86,83,42,87
228,81,33,65,64
229,82,43,89,79
230,50,29,56,69
231,68,16,99,41
232,51,58,49,45
233,93,9,41,77
234,75,98,63,30
235,81,83,50,94
236,55,17,63,51
237,81,44,74,44
238,53,90,62,96
239,60,58,71,43
240,66,61,62,48
241,87,58,73,69
242,73,48,80,33
243,54,99,58,62
244,83,62,41,72
245,55,86,99,66
246,71,31,90,95
247,60,9,41,56
248,97,10,54,74
249,65,69,95,79
250,82,61,60,92
251,58,46,74,35
252,55,33,44,96
253,65,99,82,96
254,78,100,66,88
255,52,16,63,42
256,69,53,46,50
257,85,75,45,93
258,68,84,85,66
259,75,39,100,77
260,52,18,72,85
261,68,66,97,73
262,69,81,88,42
263,81,52,56,33
264,56,63,85,62
265,90,82,81,66
266,82,46,69,82
267,89,5,47,53
268,88,15,79,80
269,67,71,85,70
270,89,17,46,58
271,50,51,45,88
272,60,47,43,69
273,77,42,40,80
274,74,38,54,79
275,99,48,70,65
276,72,11,64,89
277,80,9,86,47
278,79,70,72,49
279,91,54,91,34
280,84,0,74,47
281,56,48,94,69
282,65,35,44,30
283,75,20,44,48
284,97,36,75,55
285,98,23,56,58
286,51,54,92,88
287,50,24,91,92
288,97,6,53,91
289,61,80,97,77
290,54,92,68,91
291,86,93,47,47
292,81,70,73,95
293,58,96,79,56
294,90,70,40,35
295,84,23,68,99
296,68,10,75,88
297,97,72,90,35
298,65,11,76,60
299,52,34,68,85
300,69,62,44,83
301,73,67,92,70
302,82,99,71,47
303,73,91,99,52
304,60,56,91,65
305,98,12,63,54
306,57,22,58,36
307,85,82,51,49
308,87,100,91,34
309,89,38,40,47
310,69,87,46,62
311,84,79,56,64
312,97,96,73,94
313,74,11,82,92
314,84,33,46,100
315,74,70,56,70
316,78,74,98,79
317,67,30,42,59
318,95,92,68,67
319,67,61,61,64
320,51,12,77,95
321,84,30,93,75
322,65,1,82,37
323,90,14,68,97
324,85,56,89,66
325,82,74,89,42
326,53,33,93,74
327,82,67,81,58
328,63,74,44,70
329,70,28,69,85
330,97,65,62,45
331,69,15,94,41
332,57,38,60,95
333,56,76,95,91
334,52,36,65,48
335,66,80,93,59
336,82,20,86,45
337,97,43,60,42
338,61,18,59,98
339,100,70,62,52
340,71,7,43,91
341,71,76,60,60
342,95,100,60,82
343,79,65,40,46
344,87,40,54,78
345,87,74,56,78
346,94,87,90,96
347,100,69,53,55
348,57,60,98,42
349,76,25,58,67
350,76,70,89,51
351,83,82,99,58
352,70,69,73,74
353,79,28,45,75
354,82,65,84,68
355,77,18,88,98
356,96,67,45,97
357,82,57,92,68
358,54,69,93,49
359,97,56,44,97
360,68,36,46,64
361,53,60,72,37
362,84,91,52,81
363,98,29,90,69
364,66,70,93,65
365,93,72,40,35
366,77,24,52,99
367,79,96,82,45
368,78,64,66,75
369,95,5,46,88
370,55,17,91,67
371,84,9,42,47
372,90,91,97,41
373,86,10,64,83
374,73,96,72,76
375,78,64,79,30
376,98,76,56,44
377,95,100,84,50
378,80,83,53,30
379,84,64,76,96
380,82,51,97,41
381,70,66,95,57
382,81,81,93,68
383,72,77,62,66
384,82,30,98,89
385,52,90,63,60
386,67,16,68,87
387,74,54,77,40
388,91,92,98,58
389,80,35,93,42
390,52,100,66,80
391,89,25,77,83
392,95,52,92,48
393,73,16,79,87
394,99,85,84,65
395,81,24,89,57
396,96,1,62,97
397,71,85,70,32
398,72,4,75,70
399,51,3,56,64
400,76,35,100,79
401,91,5,76,59
402,51,20,42,99
403,75,76,75,83
404,66,100,94,100
405,89,88,44,80
406,82,25,85,57
407,58,54,54,93
408,92,38,91,50
409,97,83,88,56
410,88,32,45,56
411,78,13,98,79
412,91,55,49,58
413,75,99,93,68
414,84,80,71,86
415,99,20,62,66
416,74,45,87,93
417,73,15,56,77
418,62,15,85,51
419,56,83,59,59
420,85,28,83,57
421,94,91,80,52
422,69,7,54,33
423,50,87,83,32
424,57,2,85,90
425,95,88,97,33
426,65,18,61,94
427,63,96,89,41
428,61,65,91,42
429,100,78,45,63
430,72,85,43,88
431,64,73,97,60
432,77,81,62,100
433,83,21,83,42
434,51,45,84,83
435,81,90,58,31
436,72,12,93,62
437,71,32,84,79
438,100,4,70,36
439,74,89,83,47
440,71,76,91,80
441,71,26,42,37
442,98,77,67,84
443,91,23,42,72
444,55,66,53,88
445,64,62,57,59
446,92,93,66,88
447,86,98,90,38
448,82,47,100,97
449,57,62,99,68
450,93,77,49,40
451,93,11,88,31
452,54,27,54,52
453,88,43,58,92
454,53,92,48,51
455,55,42,43,90
456,94,16,54,55
457,81,39,90,41
458,79,48,87,61
459,96,84,47,38
460,84,56,88,98
461,89,86,92,100
462,65,83,40,62
463,62,63,46,53
464,99,74,92,98
465,91,56,70,67
466,79,97,57,40
467,68,73,51,61
468,66,73,87,93
469,68,69,69,49
470,77,99,72,63
471,75,87,98,71
472,86,75,86,37
473,75,42,46,95
474,72,22,67,50
475,58,26,88,99
476,61,57,42,34
477,50,36,82,96
478,50,5,45,72
479,96,64,70,45
480,83,5,77,64
481,81,49,54,72
482,97,21,46,68
483,74,87,82,39
484,89,24,69,49
485,94,78,66,30
486,50,89,56,35
487,65,71,94,82
488,88,50,57,75
489,54,87,61,95
490,71,47,100,67
491,78,69,95,62
492,52,98,100,96
493,61,64,92,64
494,75,59,65,74
495,65,45,90,51
496,100,35,66,97
497,86,57,79,46
498,71,75,63,34
499,78,37,91,86
500,63,10,47,69
501,77,11,60,59
502,54,41,68,71
503,96,38,82,36
504,98,70,60,100
505,79,10,42,48
506,95,35,70,70
507,54,51,94,63
508,61,30,66,51
509,65,32,85,81
510,75,12,66,35
511,75,17,48,54
512,97,40,96,95
513,70,57,72,39
514,88,55,72,55
515,85,23,65,34
516,82,72,67,97
517,79,30,83,100
518,86,54,82,79
519,72,9,70,46
520,59,59,92,40
521,54,1,40,82
522,85,14,59,79
523,83,2,51,37
524,80,42,56,91
525,59,30,54,58
526,68,69,73,73
527,81,66,89,74
528,50,55,55,58
529,54,62,43,88
530,94,74,47,44
531,53,14,73,99
532,65,91,85,73
533,73,9,64,65
534,65,37,54,86
535,51,46,67,93
536,98,56,48,67
537,77,49,41,46
538,81,70,56,56
539,76,14,97,46
540,69,17,49,92
541,73,81,48,40
542,61,87,70,93
543,99,1,41,68
544,84,83,63,31
545,82,97,58,95
546,82,42,56,83
547,100,25,82,58
548,92,70,88,74
549,86,37,49,60
550,61,93,89,78
551,52,41,94,38
552,50,4,67,56
553,82,10,77,85
554,89,64,87,74
555,59,33,67,72
556,92,0,98,51
557,93,82,89,62
558,78,1,91,56
559,62,84,89,69
560,61,19,40,55
561,80,60,99,74
562,95,86,42,74
563,51,20,54,55
564,100,87,91,99
565,99,67,49,96
566,84,11,60,35
567,72,21,76,57
568,66,19,54,96
569,75,81,62,42
570,57,0,53,92
571,78,29,54,42
572,75,96,49,30
573,59,23,95,69
574,75,13,48,66
575,83,35,83,60
576,100,68,78,46
577,90,74,44,38
578,56,23,64,93
579,53,59,95,86
580,99,94,81,42
581,94,54,96,66
582,60,76,65,43
583,78,79,47,54
584,85,23,61,86
585,74,76,91,100
586,70,23,64,71
587,85,53,87,71
588,59,25,51,76
589,86,65,48,73
590,58,79,49,70
591,73,37,87,32
592,84,64,49,30
593,98,74,48,40
594,84,50,65,36
595,97,34,74,41
596,85,42,66,67
597,67,28,99,83
598,98,36,70,96
599,88,80,58,82
600,81,57,82,61
601,73,53,77,74
602,72,38,45,80
603,81,41,54,66
604,86,27,68,88
605,61,28,86,83
606,98,42,84,47
607,62,2,93,30
608,72,9,44,50
609,74,58,53,57
610,84,13,92,45
611,90,75,41,77
612,79,46,62,57
613,66,41,83,51
614,98,93,91,30
615,69,31,85,71
616,97,31,58,99
617,74,41,63,32
618,71,31,59,73
619,62,25,86,56
620,68,0,66,80
621,98,55,91,53
622,85,1,63,49
623,61,80,56,61
624,90,29,64,42
625,68,70,85,72
626,61,51,94,49
627,58,90,70,31
628,56,8,67,97
629,77,21,89,89
630,63,33,98,33
631,80,48,67,46
632,68,0,61,30
633,96,72,95,62
634,65,83,98,59
635,54,52,44,34
636,84,82,93,41
637,61,99,83,61
638,74,39,81,67
639,70,44,47,46
640,85,67,100,87
641,72,8,77,69
642,65,21,67,53
643,88,17,96,41
644,94,75,86,48
645,91,42,51,58
646,88,38,96,81
647,63,72,64,46
648,80,5,77,50
649,54,82,83,89
650,84,47,54,49
651,72,6,83,82
652,78,79,80,92
653,92,68,90,86
654,60,15,92,58
655,67,0,73,30
656,96,36,99,88
657,61,82,84,93
658,58,36,52,100
659,59,80,47,73
660,93,63,98,77
661,66,89,52,44
662,87,85,75,64
663,56,61,45,52
664,95,71,77,82
665,62,60,71,74
666,89,32,60,42
667,91,65,83,63
668,58,29,83,67
669,99,19,88,99
670,76,59,98,97
671,51,81,46,34
672,54,73,65,69
673,78,23,54,99
674,86,3,95,50
675,87,36,88,57
676,68,3,81,32
677,57,76,62,52
678,97,88,91,48
679,94,76,77,79
680,50,17,80,87
681,71,87,54,49
682,66,65,87,82
683,56,47,92,38
684,74,32,79,33
685,94,57,55,70
686,53,82,71,54
687,85,72,76,63
688,55,27,57,38
689,80,34,59,42
690,68,9,85,38
691,93,64,41,33
692,88,41,94,63
693,76,84,62,36
694,59,8,69,44
695,75,59,42,67
696,68,14,85,81
697,88,98,100,36
698,52,56,78,74
699,94,68,86,88
700,62,21,88,50
701,99,63,40,57
702,77,40,80,32
703,69,86,61,43
704,77,70,68,31
705,57,55,53,58
706,90,22,87,47
707,88,24,67,66
708,50,90,60,74
709,52,5,84,74
710,62,33,71,53
711,77,62,45,75
712,98,8,93,41
713,74,59,40,82
714,82,48,60,74
715,87,96,96,61
716,55,50,43,47
717,93,59,42,42
718,94,69,88,33
719,81,36,69,52
720,94,30,70,91
721,96,97,73,83
722,70,40,58,84
723,65,61,59,98
724,70,92,62,69
725,60,57,93,43
726,86,13,98,57
727,85,35,79,100
728,84,35,64,96
729,68,78,54,58
730,69,7,77,90
731,67,25,62,97
732,96,35,91,38
733,90,47,41,46
734,98,84,96,78
735,63,27,96,92
736,64,67,54,75
737,80,61,91,42
738,50,79,83,74
739,52,85,74,82
740,65,75,49,46
741,72,79,53,76
742,60,50,66,91
743,61,41,93,79
744,59,100,53,72
745,81,28,74,97
746,65,81,72,57
747,57,9,91,74
748,87,38,40,70
749,61,81,73,65
750,73,0,58,62
751,77,38,63,54
752,57,20,81,48
753,77,64,43,76
754,85,14,75,62
755,75,3,52,96
756,57,59,97,43
757,99,60,71,62
758,77,19,48,71
759,77,9,78,94
760,86,86,55,76
761,90,33,89,64
762,85,47,42,61
763,76,32,91,84
764,66,97,59,83
765,58,60,49,80
766,82,9,95,88
767,69,53,97,43
768,62,83,97,47
769,77,64,61,84
770,97,76,87,85
771,78,0,42,78
772,62,4,50,89
773,95,79,64,82
774,84,14,81,100
775,55,27,87,35
776,67,94,47,99
777,100,22,48,37
778,54,16,54,44
779,96,97,71,55
780,74,12,92,68
781,51,13,42,32
782,59,10,43,86
783,79,27,69,39
784,99,41,52,32
785,94,95,83,75
786,54,98,60,51
787,82,60,80,96
788,50,63,96,94
789,67,30,85,48
790,81,80,58,91
791,96,72,78,86
792,98,9,87,42
793,60,7,61,45
794,70,20,59,45
795,75,76,76,81
796,74,58,70,70
797,71,49,49,77
798,76,68,57,68
799,98,69,82,42
800,62,29,78,33
801,82,94,85,72
802,83,16,59,75
803,90,74,57,76
804,84,19,50,82
805,50,47,61,54
806,70,72,98,70
807,97,1,83,32
808,55,36,57,42
809,77,0,97,47
810,66,3,73,66
811,54,99,62,72
812,80,53,40,63
813,54,24,94,84
814,87,2,49,81
815,52,8,92,65
816,72,85,40,83
817,86,86,77,88
818,86,75,78,81
819,59,73,88,48
820,59,33,48,41
821,68,42,70,40
822,66,73,46,77
823,70,93,56,45
824,63,21,74,100
825,58,69,87,76
826,95,1,76,96
827,50,93,91,60
828,100,65,57,37
829,94,31,72,90
830,62,15,43,73
831,53,75,62,79
832,50,0,50,64
833,98,71,91,90
834,89,47,48,84
835,81,49,69,95
836,83,12,47,43
837,77,14,79,33
838,80,52,44,46
839,57,43,51,98
840,88,7,40,53
841,75,73,54,78
842,83,45,64,84
843,52,68,57,100
844,99,18,77,52
845,61,37,81,41
846,50,10,85,40
847,93,42,92,58
848,54,19,65,91
849,79,19,100,82
850,79,20,79,77
851,66,81,98,95
852,97,56,42,77
853,96,49,93,88
854,72,73,61,100
855,64,97,65,86
856,86,25,58,32
857,70,29,83,61
858,63,72,83,37
859,51,30,86,59
860,60,41,99,44
861,100,67,78,84
862,88,60,98,67
863,87,60,75,44
864,83,69,60,59
865,87,77,80,75
866,99,67,93,93
867,83,89,87,55
868,67,16,65,96
869,79,18,52,65
870,64,50,75,60
871,76,69,63,69
872,100,62,80,75
873,83,92,65,71
874,87,74,60,47
875,82,79,57,65
876,73,29,54,79
877,64,24,54,90
878,79,74,45,69
879,91,70,82,32
880,100,25,70,36
881,66,55,67,60
882,54,21,47,94
883,78,88,68,93
884,53,18,60,32
885,59,30,56,64
886,66,25,95,44
887,59,41,96,50
888,66,40,88,91
889,69,99,63,57
890,73,22,97,33
891,54,46,99,42
892,83,12,89,80
893,55,88,75,77
894,51,65,100,68
895,62,65,70,96
896,92,15,86,87
897,92,72,73,31
898,97,27,41,54
899,60,76,81,40
900,100,34,42,30
901,96,40,69,77
902,72,76,47,77
903,65,30,91,39
904,80,84,46,59
905,60,31,51,64
906,65,53,97,48
907,57,97,58,82
908,53,71,65,63
909,89,58,67,61
910,53,40,54,35
911,74,65,53,42
912,52,95,87,93
913,81,53,100,36
914,52,39,98,74
915,76,27,53,74
916,78,36,42,94
917,81,64,89,48
918,99,73,68,76
919,100,54,99,75
920,68,3,93,58
921,70,98,45,90
922,54,9,88,94
923,67,46,62,52
924,77,74,67,80
925,91,13,53,92
926,71,37,53,51
927,70,11,59,100
928,55,44,52,62
929,50,16,66,73
930,54,79,99,36
931,90,34,74,31
932,61,65,84,46
933,75,74,100,94
934,95,40,95,87
935,83,66,41,59
936,98,28,80,55
937,63,17,84,64
938,75,19,79,92
939,94,13,87,100
940,76,33,63,57
941,58,48,68,54
942,75,53,42,90
943,96,30,84,60
944,71,57,43,83
945,96,41,89,96
946,79,57,41,80
947,92,81,59,87
948,97,29,93,63
949,66,24,92,88
950,75,62,54,50
951,85,18,88,85
952,50,71,71,66
953,57,91,100,93
954,98,7,81,48
955,84,94,40,82
956,64,2,77,100
957,96,66,74,92
958,71,85,90,91
959,63,80,46,48
960,75,99,84,31
961,77,16,52,35
962,72,13,88,58
963,63,8,40,70
964,73,61,53,80
965,51,93,68,34
966,94,20,97,70
967,75,75,42,91
968,63,36,85,59
969,100,95,63,91
970,56,10,40,56
971,52,19,87,79
972,96,34,49,81
973,72,52,52,78
974,95,46,75,91
975,92,74,48,89
976,96,51,53,83
977,94,7,75,34
978,67,3,49,38
979,87,26,79,63
980,84,43,62,65
981,100,39,74,49
982,64,46,94,92
983,74,93,46,96
984,86,43,81,59
985,77,47,74,98
986,59,90,41,99
987,88,84,54,32
988,66,51,48,78
989,88,83,86,71
990,71,67,56,53
991,75,10,78,73
992,93,76,91,30
993,74,72,57,83
994,66,3,54,81
995,62,75,57,65
996,69,72,63,67
997,74,76,62,73
998,53,47,51,76
999,59,25,62,58
1000,52,76,60,80
1001,90,38,65,70
1002,94,91,47,93
1003,67,57,69,77
1004,96,18,73,51
1005,85,87,41,46
1006,96,82,44,34
1007,71,76,70,90
1008,83,76,72,35
1009,96,57,93,82
1010,57,27,43,46
1011,89,65,45,88
1012,98,9,62,68
1013,93,85,84,83
1014,68,76,58,77
1015,91,57,82,66
1016,90,72,84,77
1017,86,96,47,97
1018,55,13,78,56
1019,75,83,52,56
1020,83,14,40,92
1021,94,95,45,81
1022,55,32,46,76
1023,86,16,87,50
1024,82,23,66,86
1025,71,29,54,71
1026,70,61,91,77
1027,55,12,73,56
1028,55,61,97,62
1029,97,46,96,64
1030,53,15,62,45
1031,79,65,87,65
1032,60,80,88,95
1033,79,95,63,85
1034,80,42,54,46
1035,73,7,74,49
1036,58,2,43,37
1037,52,11,83,47
1038,100,83,76,47
1039,80,15,56,47
1040,89,77,70,31
1041,86,79,77,80
1042,85,58,49,39
1043,73,48,93,43
1044,80,62,89,55
1045,55,61,66,76
1046,51,48,81,59
1047,69,50,45,85
1048,77,32,95,71
1049,60,29,45,33
1050,53,58,91,40
1051,64,75,54,53
1052,55,14,43,96
1053,98,81,96,66
1054,79,91,87,31
1055,87,22,93,41
1056,100,77,95,50
1057,51,93,79,98
1058,64,96,46,100
1059,60,44,90,93
1060,57,61,97,97
1061,75,78,88,72
1062,100,70,92,83
1063,94,14,84,91
1064,93,45,86,41
1065,54,63,65,30
1066,55,45,97,62
1067,75,55,70,93
1068,53,43,41,97
1069,68,74,67,43
1070,69,28,81,43
1071,82,94,52,38
1072,69,61,57,55
1073,98,88,69,78
1074,61,51,94,46
1075,96,53,50,97
1076,50,87,52,89
1077,75,56,90,32
1078,63,82,100,54
1079,87,65,63,50
1080,86,21,96,41
1081,60,19,68,83
1082,85,32,95,30
1083,62,71,93,30
1084,92,24,44,74
1085,52,45,74,75
1086,82,72,58,77
1087,55,97,94,36
1088,99,56,52,39
1089,59,86,44,44
1090,54,4,83,69
1091,72,54,53,40
1092,59,60,77,85
1093,93,88,61,75
1094,51,7,48,74
1095,62,15,88,42
1096,89,47,79,56
1097,51,60,65,79
1098,69,14,84,90
1099,50,64,100,42
1100,86,21,44,41
1101,58,2,68,58
1102,66,53,93,49
1103,58,13,61,60
1104,60,35,88,37
1105,64,81,42,53
1106,73,81,67,68
1107,87,66,77,62
1108,84,9,53,71
1109,79,48,86,44
1110,80,64,53,97
1111,98,90,82,94
1112,54,56,50,61
1113,93,26,48,40
1114,99,74,77,66
1115,63,4,86,48
1116,60,70,83,80
1117,58,82,100,63
1118,83,56,45,100
1119,61,92,40,89
1120,84,14,64,82
1121,84,98,55,41
1122,50,100,91,91
1123,89,75,54,95
1124,71,29,73,77
1125,78,19,56,69
1126,57,36,42,53
1127,60,2,42,79
1128,90,72,76,97
1129,86,40,56,72
1130,63,38,94,46
1131,79,25,100,84
1132,84,1,88,63
1133,70,22,91,99
1134,86,22,77,89
1135,54,84,40,80
1136,68,15,46,64
1137,63,8,65,63
1138,75,12,86,45
1139,53,27,78,47
1140,74,26,58,67
1141,94,50,91,72
1142,91,63,93,61
1143,74,51,69,36
1144,67,80,82,75
1145,89,37,94,90
1146,57,99,53,47
1147,88,64,52,100
1148,89,17,59,69
1149,63,62,65,79
1150,81,50,66,34
1151,100,8,64,83
1152,87,12,48,87
1153,82,39,80,51
1154,72,54,87,67
1155,64,78,51,78
1156,82,42,49,30
1157,74,43,45,65
1158,66,67,89,57
1159,82,32,73,64
1160,96,23,98,89
1161,51,35,91,91
1162,63,9,80,75
1163,89,99,58,90
1164,89,19,45,94
1165,100,74,41,55
1166,88,11,54,64
1167,100,61,56,86
1168,55,17,55,92
1169,55,93,67,33
1170,52,100,60,71
1171,56,62,47,74
1172,100,83,49,68
1173,57,24,49,94
1174,91,11,89,51
1175,64,20,49,40
1176,96,24,48,66
1177,78,10,67,80
1178,82,63,63,87
1179,79,72,58,36
1180,88,49,72,37
1181,76,61,43,80
1182,85,88,95,52
1183,78,98,42,38
1184,87,95,81,75
1185,82,48,51,67
1186,86,13,57,42
1187,76,0,62,36
1188,82,80,59,40
1189,53,24,45,79
1190,71,58,92,96
1191,51,71,73,70
1192,59,68,81,58
1193,54,4,41,66
1194,59,98,69,85
1195,82,18,48,45
1196,87,22,66,73
1197,62,8,81,79
1198,80,93,73,100
1199,96,49,79,35
1200,85,15,63,47
1201,94,32,88,48
1202,73,1,56,80
1203,64,13,68,95
1204,78,0,75,32
1205,57,89,89,83
1206,54,57,51,78
1207,78,88,70,57
1208,96,15,88,67
1209,53,78,48,57
1210,61,89,100,61
1211,94,46,58,70
1212,51,43,85,65
1213,76,79,85,65
1214,80,13,56,95
1215,100,92,41,39
1216,100,23,79,99
1217,85,54,44,92
1218,85,14,98,51
1219,75,82,78,49
1220,92,71,93,62
1221,76,33,100,44
1222,54,1,87,36
1223,69,26,55,79
1224,60,73,56,39
1225,59,98,93,66
1226,89,86,66,88
1227,87,71,46,92
1228,55,91,91,50
1229,57,22,47,66
1230,72,67,47,74
1231,96,13,62,43
1232,75,62,71,72
1233,95,92,82,62
1234,92,64,86,32
1235,61,67,57,73
1236,75,62,77,64
1237,62,95,93,54
1238,89,96,51,37
1239,67,89,54,91
1240,74,80,67,47
1241,82,86,94,57
1242,96,63,77,41
1243,89,31,89,93
1244,92,78,95,31
1245,61,12,70,88
1246,93,65,91,66
1247,85,18,48,33
1248,97,23,47,70
1249,53,87,85,74
1250,54,10,58,63
1251,86,58,90,42
1252,57,85,47,36
1253,91,14,73,61
1254,98,9,96,52
1255,77,40,43,78
1256,80,26,70,76
1257,58,59,77,66
1258,100,72,42,77
1259,78,51,74,58
1260,63,27,58,66
1261,89,64,82,52
1262,90,16,68,67
1263,71,94,49,73
1264,60,43,51,34
1265,72,9,85,81
1266,50,62,69,69
1267,95,100,69,40
1268,86,92,99,31
1269,70,81,57,64
1270,75,46,63,74
1271,95,37,71,78
1272,85,69,48,64
1273,72,75,86,61
1274,50,52,63,97
1275,100,77,65,100
1276,89,43,42,68
1277,64,73,62,77
1278,70,53,50,66
1279,96,19,49,89
1280,58,78,89,33
1281,58,30,75,52
1282,59,6,99,43
1283,75,57,52,34
1284,90,9,68,95
1285,84,9,77,53
1286,74,38,98,47
1287,75,27,92,56
1288,60,29,52,53
1289,87,36,96,58
1290,51,66,65,40
1291,56,42,59,47
1292,67,78,44,33
1293,76,84,59,62
1294,83,51,53,71
1295,76,100,84,61
1296,66,55,53,80
1297,92,75,47,33
1298,93,67,87,49
1299,100,8,52,96
1300,73,91,63,97
1301,74,22,54,91
1302,56,62,90,87
1303,55,60,40,76
1304,73,39,61,88
1305,82,43,73,35
1306,98,85,89,69
1307,78,23,90,52
1308,92,50,79,81
1309,71,57,42,33
1310,75,89,94,66
1311,77,93,65,71
1312,99,32,53,73
1313,70,15,97,71
1314,98,21,80,58
1315,56,56,100,48
1316,66,61,47,61
1317,69,81,88,73
1318,90,70,94,84
1319,98,89,94,34
1320,69,71,95,75
1321,71,69,55,74
1322,77,29,81,50
1323,89,22,60,51
1324,98,31,49,59
1325,56,85,96,52
1326,50,56,64,34
1327,81,8,95,92
1328,62,30,77,88
1329,79,70,61,81
1330,72,8,88,94
1331,100,12,100,68
1332,68,57,87,32
1333,81,2,86,71
1334,79,34,93,100
1335,78,96,85,56
1336,98,20,43,57
1337,94,63,43,83
1338,78,94,69,44
1339,79,51,41,82
1340,65,33,68,99
1341,89,95,82,33
1342,68,34,75,46
1343,67,14,60,63
1344,50,95,100,35
1345,63,5,99,65
1346,100,84,60,68
1347,96,96,87,95
1348,99,31,60,37
1349,51,51,43,44
1350,77,82,40,92
1351,98,96,65,94
1352,99,27,95,88
1353,79,94,90,39
1354,87,84,41,36
1355,100,97,48,41
1356,53,63,94,75
1357,50,78,96,61
1358,57,77,84,61
1359,78,18,57,90
